Tema Queja;Año;Área;Número de quejas
Humo de tabaco;2015;Tunjuelito;1
Humo de tabaco;2015;Bosa;2
Humo de tabaco;2015;Kennedy;0
Humo de tabaco;2015;Fontibón;2
Humo de tabaco;2015;Engativá;3
Humo de tabaco;2015;Suba;7
Humo de tabaco;2015;Barrios Unidos;4
Humo de tabaco;2015;Teusaquillo;5
Humo de tabaco;2015;Los Mártires;2
Humo de tabaco;2015;Antonio Nariño;0
Humo de tabaco;2015;Puente Aranda;2
Humo de tabaco;2015;La Candelaria;0
Humo de tabaco;2015;Rafael Uribe Uribe;1
Humo de tabaco;2015;Ciudad Bolívar;0
Humo de tabaco;2015;Distrito;37
Olores ofensivos;2015;Usaquén;4
Olores ofensivos;2015;Chapinero;20
Olores ofensivos;2015;Santa Fe;4
Olores ofensivos;2015;San Cristóbal;2
Olores ofensivos;2015;Usme;1
Olores ofensivos;2015;Tunjuelito;4
Olores ofensivos;2015;Bosa;59
Olores ofensivos;2015;Kennedy;2
Olores ofensivos;2015;Fontibón;7
Olores ofensivos;2015;Engativá;3
Olores ofensivos;2015;Suba;1
Olores ofensivos;2015;Barrios Unidos;10
Olores ofensivos;2015;Teusaquillo;16
Olores ofensivos;2015;Los Mártires;5
Olores ofensivos;2015;Antonio Nariño;5
Olores ofensivos;2015;Puente Aranda;1
Olores ofensivos;2015;La Candelaria;1
Olores ofensivos;2015;Rafael Uribe Uribe;4
Olores ofensivos;2015;Ciudad Bolívar;1
Olores ofensivos;2015;Distrito;150
Contaminación por ruido;2015;Usaquén;10
Contaminación por ruido;2015;Chapinero;28
Contaminación por ruido;2015;Santa Fe;4
Contaminación por ruido;2015;San Cristóbal;5
Contaminación por ruido;2015;Usme;3
Contaminación por ruido;2015;Tunjuelito;6
Contaminación por ruido;2015;Bosa;17
Contaminación por ruido;2015;Kennedy;9
Contaminación por ruido;2015;Fontibón;8
Contaminación por ruido;2015;Engativá;5
Contaminación por ruido;2015;Suba;2
Contaminación por ruido;2015;Barrios Unidos;6
Contaminación por ruido;2015;Teusaquillo;9
Contaminación por ruido;2015;Los Mártires;3
Contaminación por ruido;2015;Antonio Nariño;8
Contaminación por ruido;2015;Puente Aranda;4
Contaminación por ruido;2015;La Candelaria;0
Contaminación por ruido;2015;Rafael Uribe Uribe;5
Contaminación por ruido;2015;Ciudad Bolívar;4
Contaminación por ruido;2015;Distrito;136
