Tema Queja;Año;Área;Número de quejas
Humo de tabaco;2025;Engativá;14
Humo de tabaco;2025;Suba;8
Humo de tabaco;2025;Barrios Unidos;0
Humo de tabaco;2025;Teusaquillo;2
Humo de tabaco;2025;Los Mártires;2
Humo de tabaco;2025;Antonio Nariño;1
Humo de tabaco;2025;Puente Aranda;4
Humo de tabaco;2025;La Candelaria;0
Humo de tabaco;2025;Rafael Uribe Uribe;0
Humo de tabaco;2025;Ciudad Bolívar;3
Humo de tabaco;2025;Distrito;63
Contaminación por ruido;2025;Usaquén;103
Contaminación por ruido;2025;Chapinero;61
Contaminación por ruido;2025;Santa Fe;19
Contaminación por ruido;2025;San Cristóbal;26
Contaminación por ruido;2025;Usme;21
Contaminación por ruido;2025;Tunjuelito;23
Contaminación por ruido;2025;Bosa;65
Contaminación por ruido;2025;Kennedy;108
Contaminación por ruido;2025;Fontibón;48
Contaminación por ruido;2025;Engativá;130
Contaminación por ruido;2025;Suba;189
Contaminación por ruido;2025;Barrios Unidos;78
Contaminación por ruido;2025;Teusaquillo;33
Contaminación por ruido;2025;Los Mártires;21
Contaminación por ruido;2025;Antonio Nariño;26
Contaminación por ruido;2025;Puente Aranda;39
Contaminación por ruido;2025;La Candelaria;10
Contaminación por ruido;2025;Rafael Uribe Uribe;49
Contaminación por ruido;2025;Ciudad Bolívar;34
Contaminación por ruido;2025;Distrito;1083
Radiaciones electromagnéticas;2025;Usaquén;1
Radiaciones electromagnéticas;2025;Chapinero;2
Radiaciones electromagnéticas;2025;Santa Fe;0
Radiaciones electromagnéticas;2025;San Cristóbal;0
Radiaciones electromagnéticas;2025;Usme;0
Radiaciones electromagnéticas;2025;Tunjuelito;0
Radiaciones electromagnéticas;2025;Bosa;0
Radiaciones electromagnéticas;2025;Kennedy;0
Radiaciones electromagnéticas;2025;Fontibón;2
Radiaciones electromagnéticas;2025;Engativá;1
Radiaciones electromagnéticas;2025;Suba;1
Radiaciones electromagnéticas;2025;Barrios Unidos;1
Radiaciones electromagnéticas;2025;Teusaquillo;1
Radiaciones electromagnéticas;2025;Los Mártires;0
Radiaciones electromagnéticas;2025;Antonio Nariño;0
Radiaciones electromagnéticas;2025;Puente Aranda;0
Radiaciones electromagnéticas;2025;La Candelaria;1
Radiaciones electromagnéticas;2025;Rafael Uribe Uribe;0
Radiaciones electromagnéticas;2025;Ciudad Bolívar;0
Radiaciones electromagnéticas;2025;Distrito;10
