Año encuesta;Localidad;Sexo;Aseguramiento;Estrato;Casos de sibilancia último año;Casos de tos último año diferente gripa;Casos de mocos o nariz tapada último año;Casos de ausentismo escolar;Casos de asistencia al colegio;Registros
2019;Fontibón;Mujer;Contributivo (EPS);2;1;1;4;1;9;18
2019;Fontibón;Mujer;Contributivo (EPS);3;2;1;9;4;18;34
2019;Fontibón;Mujer;Contributivo (EPS);4;0;0;0;0;0;2
2019;Fontibón;Mujer;Ninguno;2;0;0;0;0;0;1
2019;Fontibón;Mujer;Ninguno;3;0;0;0;0;1;4
2019;Fontibón;Mujer;Régimen excepcional;2;0;0;0;1;1;1
2019;Fontibón;Mujer;Régimen excepcional;3;0;0;0;0;0;2
2019;Fontibón;Mujer;Subsidiado (EPSS);2;0;0;0;0;1;3
2019;Fontibón;Mujer;Subsidiado (EPSS);3;0;0;1;1;4;7
2019;Kennedy;Hombre;Contributivo (EPS);2;10;8;37;7;52;122
2019;Kennedy;Hombre;Contributivo (EPS);3;8;3;17;4;18;45
2019;Kennedy;Hombre;Contributivo (EPS);4;0;0;2;0;3;3
2019;Kennedy;Hombre;Ninguno;2;1;2;5;0;6;15
2019;Kennedy;Hombre;Ninguno;3;0;0;0;0;1;3
2019;Kennedy;Hombre;Régimen excepcional;2;0;0;1;0;1;6
2019;Kennedy;Hombre;Subsidiado (EPSS);2;3;9;10;5;18;39
2019;Kennedy;Hombre;Subsidiado (EPSS);3;1;0;3;0;6;11
2019;Kennedy;Mujer;Contributivo (EPS);2;10;8;30;7;34;97
2019;Kennedy;Mujer;Contributivo (EPS);3;3;2;21;1;17;52
2019;Kennedy;Mujer;Contributivo (EPS);4;0;0;0;0;1;1
2019;Kennedy;Mujer;Ninguno;2;1;0;2;0;1;9
2019;Kennedy;Mujer;Ninguno;3;1;1;1;0;0;3
2019;Kennedy;Mujer;Régimen excepcional;2;2;2;2;2;2;5
2019;Kennedy;Mujer;Régimen excepcional;3;0;0;1;0;2;3
2019;Kennedy;Mujer;Subsidiado (EPSS);2;3;4;9;1;11;30
2019;Kennedy;Mujer;Subsidiado (EPSS);3;0;0;3;0;3;5
2019;Mártires;Hombre;Contributivo (EPS);2;0;0;0;0;0;1
2019;Mártires;Hombre;Contributivo (EPS);3;2;3;2;0;12;18
2019;Mártires;Hombre;Ninguno;3;1;0;2;1;2;3
2019;Mártires;Hombre;Régimen excepcional;3;0;1;1;1;2;3
2019;Mártires;Hombre;Subsidiado (EPSS);2;0;0;1;0;2;4
2019;Mártires;Hombre;Subsidiado (EPSS);3;0;2;4;1;9;16
2019;Mártires;Mujer;Contributivo (EPS);2;0;0;0;0;0;2
2019;Mártires;Mujer;Contributivo (EPS);3;4;13;6;9;16;25
2019;Mártires;Mujer;Ninguno;3;1;0;1;2;4;10
2019;Mártires;Mujer;Régimen excepcional;3;0;0;0;0;0;1
2019;Mártires;Mujer;Subsidiado (EPSS);2;0;0;0;0;1;1
2019;Mártires;Mujer;Subsidiado (EPSS);3;1;5;2;4;11;16
2019;Puente Aranda;Hombre;Contributivo (EPS);3;3;3;17;2;19;43
2019;Puente Aranda;Hombre;Ninguno;3;0;0;2;1;2;3
2019;Puente Aranda;Hombre;Régimen excepcional;3;1;0;0;0;3;3
2019;Puente Aranda;Hombre;Subsidiado (EPSS);3;1;0;3;0;2;7
2019;Puente Aranda;Mujer;Contributivo (EPS);2;0;0;0;0;1;2
2019;Puente Aranda;Mujer;Contributivo (EPS);3;2;2;12;1;16;36
2019;Puente Aranda;Mujer;Ninguno;3;0;0;0;0;3;4
2019;Puente Aranda;Mujer;Régimen excepcional;3;0;0;1;0;2;3
2019;Puente Aranda;Mujer;Subsidiado (EPSS);3;0;0;0;0;2;3
2019;Rafael Uribe;Hombre;Contributivo (EPS);1;0;1;1;0;1;2
2019;Rafael Uribe;Hombre;Contributivo (EPS);2;7;10;9;7;16;28
2019;Rafael Uribe;Hombre;Contributivo (EPS);3;3;1;4;2;3;9
2019;Rafael Uribe;Hombre;Ninguno;2;1;0;1;1;1;2
2019;Rafael Uribe;Hombre;Ninguno;3;0;1;0;1;1;1
2019;Rafael Uribe;Hombre;Régimen excepcional;1;0;0;0;0;1;1
2019;Rafael Uribe;Hombre;Régimen excepcional;2;1;0;3;0;1;3
2019;Rafael Uribe;Hombre;Régimen excepcional;3;0;0;0;0;0;1
2019;Rafael Uribe;Hombre;Subsidiado (EPSS);1;0;0;0;0;0;1
2019;Rafael Uribe;Hombre;Subsidiado (EPSS);2;2;4;5;3;9;16
2019;Rafael Uribe;Hombre;Subsidiado (EPSS);3;0;0;2;0;5;6
2019;Rafael Uribe;Mujer;Contributivo (EPS);1;0;0;0;0;0;1
2019;Rafael Uribe;Mujer;Contributivo (EPS);2;3;3;6;3;8;20
2019;Rafael Uribe;Mujer;Contributivo (EPS);3;0;1;3;1;4;12
2019;Rafael Uribe;Mujer;Ninguno;2;0;0;0;0;1;2
2019;Rafael Uribe;Mujer;Ninguno;3;1;0;2;1;2;2
2019;Rafael Uribe;Mujer;Régimen excepcional;2;0;1;0;0;0;1
2019;Rafael Uribe;Mujer;Subsidiado (EPSS);1;0;1;0;0;1;1
2019;Rafael Uribe;Mujer;Subsidiado (EPSS);2;2;6;4;3;4;10
2019;Rafael Uribe;Mujer;Subsidiado (EPSS);3;1;1;2;0;2;2
2019;San Cristóbal;Hombre;Contributivo (EPS);1;2;0;1;1;2;3
2019;San Cristóbal;Hombre;Contributivo (EPS);2;9;12;16;8;23;48
2019;San Cristóbal;Hombre;Contributivo (EPS);3;2;1;2;1;2;6
2019;San Cristóbal;Hombre;Ninguno;2;2;3;2;1;2;5
2019;San Cristóbal;Hombre;Régimen excepcional;2;0;0;0;0;0;1
2019;San Cristóbal;Hombre;Régimen excepcional;3;0;0;0;0;0;1
2019;San Cristóbal;Hombre;Subsidiado (EPSS);2;5;3;5;3;8;15
2019;San Cristóbal;Hombre;Subsidiado (EPSS);3;1;1;1;0;1;4
2019;San Cristóbal;Mujer;Contributivo (EPS);1;0;0;0;0;0;1
2019;San Cristóbal;Mujer;Contributivo (EPS);2;9;10;11;5;17;39
2019;San Cristóbal;Mujer;Contributivo (EPS);3;1;0;0;1;1;2
2019;San Cristóbal;Mujer;Ninguno;2;1;0;1;1;2;3
2019;San Cristóbal;Mujer;Régimen excepcional;2;0;1;1;0;1;1
2019;San Cristóbal;Mujer;Régimen excepcional;3;0;0;0;0;0;1
2019;San Cristóbal;Mujer;Subsidiado (EPSS);2;3;2;8;1;5;16
2019;San Cristóbal;Mujer;Subsidiado (EPSS);3;1;1;1;1;1;3
2019;Santa Fe;Hombre;Contributivo (EPS);2;2;2;3;2;8;17
2019;Santa Fe;Hombre;Ninguno;2;1;0;0;1;1;1
2019;Santa Fe;Hombre;Régimen excepcional;2;0;1;0;0;1;1
2019;Santa Fe;Hombre;Subsidiado (EPSS);1;0;1;0;0;1;1
2019;Santa Fe;Hombre;Subsidiado (EPSS);2;5;2;2;2;12;23
2019;Santa Fe;Hombre;Subsidiado (EPSS);3;1;1;0;0;1;2
2019;Santa Fe;Mujer;Contributivo (EPS);1;0;2;0;0;1;3
2019;Santa Fe;Mujer;Contributivo (EPS);2;5;4;4;4;8;20
2019;Santa Fe;Mujer;Contributivo (EPS);3;1;0;0;1;2;2
2019;Santa Fe;Mujer;Ninguno;2;1;0;0;0;0;2
2019;Santa Fe;Mujer;Régimen excepcional;2;0;0;0;0;1;1
2019;Santa Fe;Mujer;Subsidiado (EPSS);1;0;2;0;0;1;2
2019;Santa Fe;Mujer;Subsidiado (EPSS);2;6;3;4;3;8;22
2019;Santa Fe;Mujer;Subsidiado (EPSS);3;0;0;0;0;2;3
2019;Suba;Hombre;Contributivo (EPS);2;9;12;15;10;38;73
2019;Suba;Hombre;Contributivo (EPS);3;5;7;7;4;9;22
2019;Suba;Hombre;Ninguno;2;0;2;2;1;1;5
2019;Suba;Hombre;Ninguno;3;0;0;0;0;0;1
2019;Suba;Hombre;Régimen excepcional;2;0;0;0;0;0;1
2019;Suba;Hombre;Subsidiado (EPSS);2;3;5;5;4;9;16
2019;Suba;Hombre;Subsidiado (EPSS);3;0;1;1;0;1;6
2019;Suba;Mujer;Contributivo (EPS);2;11;12;14;11;33;63
2019;Suba;Mujer;Contributivo (EPS);3;2;3;6;2;10;29
2019;Suba;Mujer;Ninguno;2;0;0;0;0;0;2
2019;Suba;Mujer;Ninguno;3;0;0;0;0;0;1
2019;Suba;Mujer;Régimen excepcional;2;0;1;1;0;2;2
2019;Suba;Mujer;Régimen excepcional;3;0;0;1;0;0;1
2019;Suba;Mujer;Subsidiado (EPSS);2;1;0;1;0;3;7
2019;Suba;Mujer;Subsidiado (EPSS);3;3;1;1;1;2;9
2019;Teusaquillo;Hombre;Contributivo (EPS);3;0;0;0;0;1;2
2019;Teusaquillo;Hombre;Contributivo (EPS);4;3;3;3;4;15;20
2019;Teusaquillo;Hombre;Régimen excepcional;4;0;0;1;1;2;2
2019;Teusaquillo;Hombre;Subsidiado (EPSS);2;0;0;0;0;2;2
2019;Teusaquillo;Mujer;Contributivo (EPS);3;2;0;4;1;10;14
2019;Teusaquillo;Mujer;Contributivo (EPS);4;2;1;9;2;22;31
2019;Teusaquillo;Mujer;Subsidiado (EPSS);2;0;0;1;0;5;5
2019;Teusaquillo;Mujer;Subsidiado (EPSS);3;0;0;0;0;1;1
2019;Teusaquillo;Mujer;Subsidiado (EPSS);4;0;0;0;0;1;3
2019;Tunjuelito;Hombre;Contributivo (EPS);2;6;13;16;6;27;45
2019;Tunjuelito;Hombre;Ninguno;2;0;0;1;0;1;3
2019;Tunjuelito;Hombre;Régimen excepcional;2;0;1;0;0;1;2
2019;Tunjuelito;Hombre;Subsidiado (EPSS);2;2;3;2;3;8;16
2019;Tunjuelito;Mujer;Contributivo (EPS);2;2;3;9;2;10;19
2019;Tunjuelito;Mujer;Ninguno;2;1;1;3;2;4;8
2019;Tunjuelito;Mujer;Subsidiado (EPSS);2;2;2;5;2;7;11
2019;Usaquén;Hombre;Contributivo (EPS);1;0;5;3;3;8;11
2019;Usaquén;Hombre;Contributivo (EPS);2;1;1;1;2;6;19
2019;Usaquén;Hombre;Contributivo (EPS);3;2;2;1;2;3;8
